Order Date,Region,Category,Quantity,Sales,Profit
2025-03-20,Central,Office Supplies,11,1600.72,-31.94
2023-10-29,West,Furniture,4,1024.19,-339.43
2022-09-12,Central,Furniture,7,28.73,186.36
2023-12-15,Central,Office Supplies,3,937.92,-327.86
2022-04-26,Central,Office Supplies,18,147.13,-135.8
2023-04-22,South,Technology,5,676.21,-95.81
2022-09-02,East,Furniture,4,385.66,499.46
2024-12-08,East,Technology,10,1224.59,-368.62
2023-01-22,Central,Technology,15,1667.4,195.71
2023-09-18,South,Office Supplies,8,1534.29,-468.97
2023-07-19,Central,Technology,12,670.12,320.92
2024-02-06,West,Office Supplies,13,510.22,-186.07
2022-06-25,East,Office Supplies,17,179.88,-201.99
2024-10-31,Central,Technology,16,1832.5,-483.95
2023-12-02,West,Office Supplies,14,95.57,-432.62
2023-08-14,East,Office Supplies,6,1624.88,-263.64
2024-10-01,South,Technology,14,1987.31,-63.87
2023-10-29,South,Office Supplies,13,34.47,-9.84
2022-06-24,East,Technology,19,232.98,-217.55
2024-07-05,Central,Office Supplies,11,1490.69,362.28
2024-11-06,South,Technology,16,132.3,-468.42
2023-01-19,Central,Furniture,16,779.42,-201.29
2023-07-18,West,Furniture,8,844.32,-33.82
2022-07-29,West,Furniture,10,860.74,90.08
2022-11-24,West,Office Supplies,1,974.17,-179.35
2023-04-29,Central,Furniture,10,328.26,-84.18
2024-07-17,West,Furniture,11,409.6,-67.31
2025-02-25,Central,Office Supplies,16,425.81,-7.62
2025-02-05,Central,Furniture,9,158.69,-460.56
2023-06-19,East,Furniture,17,1276.59,-315.02
2022-04-25,West,Furniture,4,1697.07,-476.88
2024-07-06,East,Technology,9,952.22,415.71
2023-12-29,South,Office Supplies,3,1663.8,-79.38
2024-10-08,West,Furniture,9,955.38,-265.92
2024-09-15,East,Technology,2,800.19,147.87
2023-12-28,Central,Furniture,16,1476.17,-291.99
2023-08-18,South,Office Supplies,6,352.51,127.24
2022-09-02,South,Furniture,12,159.52,39.09
2024-09-10,Central,Furniture,20,1614.51,-211.3
2023-08-24,East,Office Supplies,11,1127.46,377.56
2024-09-16,East,Office Supplies,1,15.16,448.41
2023-06-03,South,Furniture,19,144.14,-157.08
2022-06-08,Central,Furniture,8,728.18,355.3
2023-06-25,East,Furniture,17,146.81,-469.59
2024-08-14,South,Furniture,6,903.94,99.93
2023-11-01,East,Furniture,9,33.17,-141.93
2022-11-19,South,Furniture,3,122.42,-277.86
2023-11-02,East,Furniture,17,1651.15,68.62
2024-01-29,East,Technology,13,601.96,454.81
2022-12-20,West,Furniture,8,651.55,278.29
2024-05-02,West,Technology,2,343.71,95.87
2023-07-18,South,Furniture,19,1293.45,314.79
2024-10-28,Central,Furniture,11,1393.48,202.86
2024-04-12,East,Office Supplies,16,1600.33,164.26
2023-01-10,Central,Technology,5,1040.84,-192.87
2023-12-10,South,Office Supplies,16,788.42,-493.39
2022-11-25,Central,Technology,1,693.99,190.05
2024-07-17,Central,Office Supplies,1,1204.29,-52.45
2023-04-03,Central,Office Supplies,2,1580.25,162.25
2025-03-05,East,Technology,19,71.19,248.09
2024-02-10,East,Technology,2,527.41,-426.51
2023-11-01,West,Furniture,18,1580.3,213.81
2022-07-06,South,Office Supplies,2,1382.22,-333.79
2022-05-22,West,Office Supplies,12,627.18,-116.54
2023-08-14,East,Office Supplies,14,1791.86,-148.73
2023-03-16,West,Furniture,13,1825.65,-36.96
2024-07-18,West,Office Supplies,11,1297.61,355.01
2024-11-08,East,Office Supplies,14,970.86,-317.37
2023-11-18,West,Office Supplies,17,1952.55,-223.9
2023-10-13,South,Office Supplies,8,1631.07,172.94
2024-08-17,Central,Office Supplies,15,726.63,-134.87
2024-08-25,West,Technology,10,1624.78,-40.56
2024-08-07,Central,Technology,18,1297.16,22.03
2024-08-19,East,Office Supplies,13,1849.08,-105.51
2023-03-07,Central,Technology,7,332.72,285.96
2024-08-31,South,Furniture,1,245.71,435.26
2025-04-15,South,Office Supplies,3,1941.35,309.92
2024-07-11,Central,Furniture,5,423.14,107.16
2024-10-24,West,Office Supplies,9,1044.83,-142.93
2022-08-23,South,Office Supplies,2,862.61,-193.05
2023-08-22,Central,Technology,9,1594.08,292.81
2023-03-08,East,Office Supplies,17,1987.85,361.55
